推,噓,分數,作者,標題,時間
6,3,3,ohmylove347 (米特巴爾),[問卦] 認為職業無貴賤的人同意女兒去賣嗎？,Sun Aug 23 00:14:35 2020
10,6,4,words2012 (づ′・ω・),"[問卦] 真的希望女友像簡廷芮,好嗎!",Sun Aug 23 02:48:52 2020
3,0,3,wuyiulin (機掰客家人),[問卦] 有沒有AA的八卦？,Sun Aug 23 01:20:35 2020
16,3,13,takase (............),Re,Sun Aug 23 00:09:43 2020
0,0,0,heaven1123c (),[問卦] 八卦是不是又一波精神衰弱操作?,Sun Aug 23 08:55:29 2020
3,2,1,seanidiot (idiot),Re,Sun Aug 23 00:28:07 2020
103,36,67,relax911 (Lmerro),[新聞] 駁彰化「多做一點不會怎樣」 陳時中：偽,Sun Aug 23 04:36:48 2020
7,0,7,foreverthink (曹雞拜振恰倪嵐),[問卦] 08-16 是不是舔中仔最快樂的時光？,Sun Aug 23 01:48:34 2020
4,3,1,GrexJosh (失去以後才明白曾經擁有),[問卦] 麥當勞早餐的漢堡怎麼比平常時段的好吃?,Sun Aug 23 06:38:08 2020
5,14,-9,waymayday (不要問),[新聞] 韓國瑜明現身 韓粉嗨問：何時感恩之旅？,Sun Aug 23 00:17:42 2020
10,4,6,Ximcra ( ),[問卦] 最近怎麼八卦板又開始又賤畜支那來亂啊?,Sun Aug 23 03:24:51 2020
2,15,-13,rockiey (Sun_flower),[問卦] 法官的住家地址該公開透明嗎？,Sun Aug 23 07:50:47 2020
7,4,3,odd5566 (歐底迪),[問卦] 怎樣認識uber妹子?,Sun Aug 23 07:49:34 2020
3,0,3,SeaForest (~海森林~),Re,Sun Aug 23 01:45:33 2020
8,7,1,teddy98 (泰迪!走吧!),[問卦] 中共派兵來台，待在家最安全?,Sun Aug 23 00:46:50 2020
1,2,-1,RLAPH (川尻浩作),Re,Sun Aug 23 01:55:11 2020
6,4,2,thewtf (濱邊美波我老婆),[問卦] 大家會喜歡小奶女生嗎,Sun Aug 23 08:44:08 2020
8,2,6,Mews (On Your Own),[問卦] 燈泡要壞不壞的要怎辦？,Sun Aug 23 02:55:56 2020
4,4,0,epson5566 (ep),[問卦] 台南學生是吃到爐渣才考不好的嗎?,Sun Aug 23 00:10:07 2020
5,0,5,cwh0105 (Ex咖哩棒),[問卦] 除役就真的除役了嗎?,Sun Aug 23 00:08:50 2020
5,2,3,jis0077 (一個人的輕旅行),[問卦] 台灣為何要花那麼多錢買F16,Sun Aug 23 00:32:41 2020
11,27,-16,cowardlyman (有功夫無懦夫),[問卦] 這女的這麼婊，為什麼男的願意復合？,Sun Aug 23 06:13:38 2020
5,6,-1,howard24 (howtw24),[問卦] 新店被說是南部人,Sun Aug 23 00:34:34 2020
1,0,1,breathair (混口飯吃是理念不同才會1),Re,Sun Aug 23 04:03:34 2020
33,9,24,GhostFather (鬼父Oni Chichi),[問卦]女神願意跟你做愛但條件4吃她大便 願意嗎,Sun Aug 23 01:33:18 2020
5,3,2,ocaca (ocaca),[問卦] 長輩酗酒不吃飯 有辦法送醫嗎,Sun Aug 23 03:10:12 2020
10,4,6,eddisontw (沙丘),[新聞] 阿姨都不來洗頭了！疫情衝擊髮廊業績掉一,Sun Aug 23 07:35:56 2020
6,6,0,HayamaKami (台大彭于晏),[問卦] 肥宅睡不著都吃什麼宵夜,Sun Aug 23 01:06:30 2020
6,2,4,breakofdawn (hi),[新聞] 大陸與印尼建立人員「快捷通道」 可縮短,Sun Aug 23 01:15:52 2020
12,1,11,whiteadam (blue eyes blue),[問卦] 如果突然發現朋友拍裸體寫真,Sun Aug 23 02:22:30 2020
6,3,3,Sibelius26 (SaM),[問卦] 蔡波能跟愛莉莎莎誰比較可愛（一定要選）,Sun Aug 23 00:50:26 2020
6,5,1,than09138 (tony wu),[問卦] 大家嫌房價高可是還一堆人在買？,Sun Aug 23 00:37:49 2020
0,0,0,winnabe (請你不要迷戀哥),[問卦] 阿館是怎樣爆紅的？,Sun Aug 23 08:58:51 2020
0,0,0,ianlin1216 (伊恩可可),[問卦] 書上面寫閱覽注意是什麼意思 ,Sun Aug 23 08:31:53 2020
11,10,1,gaiaesque (一起來聽techno八 o'_'o),[問卦] 嘔嘔嘔 o'_'o,Sun Aug 23 00:25:59 2020
13,4,9,surimodo (搖滾少女!! 活力棉花糖!!),[問卦] 一直洗爐渣是不是想掩蓋什麼,Sun Aug 23 00:56:09 2020
15,10,5,alchemist106 (傳說中的煉金術師),[問卦] 壽喜燒其實就是很鹹的火鍋吧(扭動),Sun Aug 23 01:53:22 2020
3,0,3,a111111 ( ),[問卦] 神奇的拔罐？,Sun Aug 23 00:33:54 2020
1,1,0,a828203 (),[新聞] 聯發科領航 衛星概念股起飛,Sun Aug 23 07:08:02 2020
70,2,68,XXXXHAY (過氣ID),[問卦] 韓漫有能看的嗎,Sun Aug 23 01:38:22 2020
3,5,-2,wandallin (萬大林),[問卦] 2020真的很衰的八卦,Sun Aug 23 02:46:31 2020
6,4,2,cheinshin (那就這樣吧),[問卦] 朋友的兒子上補習班補數學 成績卻退步？,Sun Aug 23 01:38:43 2020
2,1,1,v89074 (Formosan),[問卦] 感覺很多的紛擾都是由愛我們的鄰居惹的,Sun Aug 23 06:17:03 2020
3,1,2,simon78410 (),[問卦] 學伴腿毛很長,Sun Aug 23 00:17:20 2020
1,0,1,ternway (do my part),[新聞] 經濟學人：科技公司上市潮正推動IPO革新,Sun Aug 23 08:01:49 2020
10,13,-3,HisVol (他的體積),[新聞] 估中國2030年GDP超美　林毅夫：美國想打,Sun Aug 23 07:57:41 2020
5,0,5,notfound0506 (存在の証明),[問卦] 60年代的樂團是不是現在樂團的起點,Sun Aug 23 00:08:37 2020
0,0,0,llgod (Wryyyyyyyy),[問卦] 為何有人看到支語就?,Sun Aug 23 08:56:53 2020
2,2,0,LiuLianDan (劉憐誕),[問卦] 叫賣哥還有在夜市叫賣嗎,Sun Aug 23 00:02:51 2020
2,0,2,gk1329 (),[問卦] 地瓜葉的地瓜很好吃?,Sun Aug 23 08:19:13 2020
11,2,9,Xavierk (眼睛紅紅),[問卦] 畢業立馬上考銀行行員好嗎?,Sun Aug 23 00:11:54 2020
59,7,52,deepdish (Keep The Faith),[新聞] 台南情色大樓多次取締無效？按摩女向市,Sun Aug 23 00:33:28 2020
2,1,1,songgood (ilovegoodgame),Re,Sun Aug 23 08:43:40 2020
3,1,2,elite9q (),[問卦] 有比較空的遊樂園嗎?,Sun Aug 23 01:45:27 2020
1,14,-13,norvasc (Norton),[問卦] 鄉民能不能給台灣IU 愛莉莎莎 一點尊重,Sun Aug 23 07:19:16 2020
16,1,15,TVman (電視兒童),[問卦] 王晶跟邱淑貞是權勢交往還是才華真愛,Sun Aug 23 06:59:37 2020
15,12,3,edwardsyo (愛德華),[問卦] 美國認真打會多強,Sun Aug 23 00:53:43 2020
68,50,18,breez (微風),[新聞] 陳時中指偽陽性 學者酸採檢國家都笨蛋? ,Sun Aug 23 08:02:40 2020
0,1,-1,words2012 (づ′・ω・),Re,Sun Aug 23 02:33:06 2020
3,2,1,end56 (終結56),[問卦] 被暗戀對象發現自己家裡蹲怎辦,Sun Aug 23 00:15:30 2020
4,0,4,yachungyu (棒賽看報紙),[問卦] 另一半是金城武是什麼感覺？,Sun Aug 23 02:52:53 2020
14,0,14,olctw (facebook.com/k.olc.tw),Re,Sun Aug 23 02:13:45 2020
8,14,-6,tom282f3 (好的 中國共產黨肺炎),[問卦] PTT剛斷線 怎麼惹,Sun Aug 23 05:15:40 2020
4,3,1,afacebook (gg),Re,Sun Aug 23 08:07:49 2020
1,0,1,jeanvanjohn (尚市長),Re,Sun Aug 23 08:15:38 2020
3,0,3,Thaichonburi (Hello 你好嗎 衷心感謝),Re,Sun Aug 23 08:46:38 2020
5,0,5,a828203 (),[問卦] 為什麼現在沒看到etoro的youtube廣告了?,Sun Aug 23 07:28:00 2020
36,0,36,qazsedcft (自由羊),[新聞] 不再「永遠正確」，金正恩承認朝鮮五年,Sun Aug 23 05:37:03 2020
21,3,18,WuDunE (GLAUCUS),[問卦] 其他國家怎麼處理偽陽性啊,Sun Aug 23 08:07:58 2020
2,0,2,aynmeow (我想成為安康魚),Re,Sun Aug 23 00:08:00 2020
9,1,8,KSHLO (Wunderbar),[問卦] 厄本能逆轉整部電影嗎,Sun Aug 23 02:29:24 2020
2,3,-1,soulboy330 (stay the course),[問卦] 台藝大跟北藝大哪個好啊？,Sun Aug 23 00:05:58 2020
4,2,2,ymx3xc (多多),[問卦] 如果有一天我有了大肚楠 你是否會愛我依,Sun Aug 23 01:35:46 2020
66,8,58,Ho1liday (江湖唯有英雄志),[問卦] 如何一句話激怒中國人？,Sun Aug 23 02:52:31 2020
7,1,6,markban (馬克白),Re,Sun Aug 23 08:22:26 2020
18,2,16,ncc5566 (政大宅男),[問卦] 半澤直樹2給民視拍會怎麼樣??,Sun Aug 23 06:58:56 2020
0,0,0,ianlin1216 (伊恩可可),[問卦] 窮人真的爛命一條不怕死？,Sun Aug 23 06:56:44 2020
221,63,158,davidkobe (david),Re,Sun Aug 23 01:13:41 2020
2,17,-15,GreenBeret (綠扁帽),[問卦] 艾莉莎莎不輸黑嘉嘉吧,Sun Aug 23 00:42:43 2020
6,1,5,w510048 (黨的恩情比山高),Re,Sun Aug 23 01:15:51 2020
11,3,8,fun5566 (裱高中化學題目出錯之神),[新聞] 大學畢業卻騙「只念到高中」 他公務員當2,Sun Aug 23 03:38:57 2020
1,0,1,jensheng09 (甲甲都從後面來),Re,Sun Aug 23 00:17:56 2020
5,2,3,cccyyy104 (Don't get in my way),[問卦] 愛莉莎莎公關文又開始了？,Sun Aug 23 00:13:38 2020
3,13,-10,onetwogo (中國訊息報告工(正確版)),Re,Sun Aug 23 02:20:18 2020
